source,date,number,validity,location,latitude,longitude,country,observer,picture,description,,,,,,,,,,
(Bull ABC Vol 10 No 2-138 ),25/10/2002,2,,"Lemuria golf course, Praslin",-4.299642,55.68335,Seychelles,,,3rd record,,,,,,,,,,
eBird,20/07/2003,x,,Malindi (general),-3.220972,40.1003,Kenya,Pam Rasmussen,,,,,,,,,,,,
Bull ABC Vol 11 No 1 - 75,05/10/2003,3,,Sabaki,-3.165425,40.14104,Kenya,,,"Three Madagascar Pratincoles Glareola ocularis at Sabaki River mouth on 5 October and a single 60 km south of Diani are among the latest records of this species in Kenya.

",,,,,,,,,,
Water Bird Count,31/01/2004,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,01/02/2004,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
eBird,06/04/2004,1000,,Sabaki,-3.165425,40.14104,Kenya,Database Records (Kenya Birdfinder: 1952-2015) / Obs: NMK Ornithology Dept. Also in Bull. ABC,,,,,,,,,,,,
eBird,06/04/2004,X,,Sabaki,-3.165425,40.14104,Kenya,Simon Valle,,RN: duplicate with the one on same date?,,,,,,,,,,
Water Bird Count,17/04/2004,2,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,12/05/2004,250,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,10/06/2004,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,11/07/2004,5,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,12/08/2004,14,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,26/09/2004,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,20/10/2004,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,01/11/2004,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,19/12/2004,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,29/01/2005,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,28/03/2005,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,04/06/2005,7,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,16/09/2005,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,19/11/2005,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,29/01/2006,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,27/01/2007,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,03/02/2007,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
eBird,02/06/2007,1,,Sabaki,-3.165425,40.14104,Kenya,Dennis Arendt,,,,,,,,,,,,
Water Bird Count,26/01/2008,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,22/02/2008,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
eBird,04/04/2008,102,,Sabaki,-3.165425,40.14104,Kenya,Database Records (Kenya Birdfinder: 1952-2015) / Obs: Govind Kumar. Guide: David Ngala,,,,,,,,,,,,
eBird,04/04/2008,125,,Sabaki,-3.165425,40.14104,Kenya,GOVIND KUMAR,,Abundant. We could not make an accurate count but there must have been 100-150 birds,,,,,,,,,,
eBird,10/08/2008,x,,Tana Delta,-2.500726,40.387112,Kenya,Brad Bergstrom,,,,,,,,,,,,
Water Bird Count,25/01/2009,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,09/02/2009,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Colin's Note,09/05/2009,373,,Sabaki,-3.165425,40.14104,Kenya,"flying north over dunes, half way through primary molt.",,,,,,,,,,,,
eBird,04/07/2009,5,,Sabaki,-3.165425,40.14104,Kenya,Hans Matheve,,,,,,,,,,,,
Water Bird Count,04/07/2009,18,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,18/08/2009,1,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
eBird,07/09/2009,1,,Arabuko-Sokoke Forest,-3.285169,39.937749,Kenya,Doug Macaulay,,,,,,,,,,,,
Water Bird Count,19/09/2009,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Bull ABC Vol 16 No 1 (2009),20/09/2009,1,,"Nguu Tatu, Mombasa",-3.967394,39.683247,Kenya,,,,,,,,,,,,,
Water Bird Count,11/10/2009,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,07/11/2009,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,23/01/2010,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,30/01/2010,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,26/02/2010,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Bull ABC Vol 17 No 1 (2010),04/04/2010,4,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,25/05/2010,887,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,25/06/2010,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,23/07/2010,50,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,27/08/2010,6,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
"birdoftheworld, Dowsett-Lemaire & Dowsett (2014)",01/09/2010,3000,,Tana Delta,-2.500726,40.387112,Kenya,RSPB 2012,,"""Some 3000 were at the Tana River delta in August 2010,"" (Checklist of the birds of Kipini Conservancy,Scopus)",,,,,,,,,,
Water Bird Count,27/09/2010,15,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Bull ABC Vol 18 No 1,01/10/2010,,,near Quissanga and on Ibo Island,-12.356518,40.598314,Mozambique,David Hoddinott,TRUE, appears to be the first for the country and is apparently also the southermost record in Africa (Fig. 15; DH).,,,,,,,,,,
Water Bird Count,19/01/2011,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,30/01/2011,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Bull ABC Vol 18 No 2 (2011),28/03/2011,1,,Mida,-3.374583333,39.95791667,Kenya,,,immature ringed,,,,,,,,,,
"Dowsett-Lemaire & Dowsett (2014), Person & Jackson (2016)",10/04/2011,2000,,Tana Delta,-2.500726,40.387112,Kenya,Olivier Hamerlynck,,"c. 2000 {Bulletin of the African Bird Club, 2011, 18: 99, 234).]",,,,,,,,,,
Water Bird Count,28/04/2011,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,20/05/2011,578,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,02/07/2011,59,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Person & Jackson (2016),20/08/2011,2,,"Olbainita swamp, Kampi ya Moto",-0.074842,36.025638,Kenya,"Brian Finch, Nigel Hunter",,,,,,,,,,,,
Water Bird Count,30/08/2011,3,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,28/10/2011,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,16/11/2011,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,10/01/2012,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,20/01/2012,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
BirdMap,01/05/2012,x,,Mida 0320_3955,-3.374583333,39.95791667,Kenya,Dr C Jackson,,,,,,,,,,,,
Water Bird Count,05/05/2012,4,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,12/06/2012,298,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,18/07/2012,158,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,21/08/2012,426,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,27/09/2012,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,27/11/2012,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,27/01/2013,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,12/03/2013,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,12/04/2013,408,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,08/05/2013,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,22/06/2013,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Person & Jackson (2016),22/06/2013,1,,Nairobi racecourse,-1.3114,36.74553,Kenya,Nigel Hunter,,,,,,,,,,,,
Water Bird Count,23/07/2013,2,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Person & Jackson (2016),17/08/2013,22,,Bunyala rice scheme,0.09848,34.06002,Kenya,Martin Odino,,22+,,,,,,,,,,
Water Bird Count,18/09/2013,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,01/11/2013,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,14/12/2013,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,19/01/2014,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,14/03/2014,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,11/04/2014,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,27/05/2014,2,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,25/06/2014,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,24/07/2014,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,28/08/2014,164,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,30/09/2014,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
Water Bird Count,24/10/2014,0,,Sabaki,-3.165425,40.14104,Kenya,,,,,,,,,,,,,
